AANHITW	Hilton Al Ain
BNAHWHW	Homewood Suites by Hilton Nashville Airport
BNAMTHX	Hampton Inn Mt. Juliet, TN
BNAMUGI	Hilton Garden Inn Murfreesboro, TN
BNANAES	Embassy Suites by Hilton Nashville-Airport
BNANSHF	Hilton Nashville-Downtown
BNANVGI	Hilton Garden Inn Nashville/Vanderbilt, TN
BNAOPHX	Hampton Inn and Suites Nashville at Opryland, TN
BNAUVHX	Hampton Inn and Suites Nashville-Vanderbilt/Elliston Pl, TN
BNAVBHW	Homewood Suites by Hilton Nashville Vanderbilt, TN
BNAVNHX	Hampton Inn Nashville/Vanderbilt
BNAWEHX	Hampton Inn Nashville/Bellevue
BNGHSHX	Hampton Inn and Suites Banning
BNJHIHI	Hilton Bonn
BNTDTDT	DoubleTree Suites by Hilton Bentonville
BNTHWHW	Homewood Suites by Hilton Bentonville/Rogers, AR
BNTRGHX	Hampton Inn Bentonville
BOGBCHH	Hilton Bogota, CO
BOGCODT	Doubletree by Hilton Bogotá - Calle 100, Colombia
BOGNTDT	DoubleTree by Hilton Bogota Parque 93
BOHCCHX	Hampton by Hilton Bournemouth
BOHTMHI	Hilton Bournemouth, UK
BOIDNHX	Hampton Inn and Suites Boise-Downtown, ID
BOIEHGI	Hilton Garden Inn Boise/Eagle, ID
BOIGIGI	Hilton Garden Inn Boise Spectrum
BOIHSHX	Hampton Inn and Suites Boise/Meridian
BOIHWHW	Homewood Suites by Hilton Boise, ID
BOIIDHX	Hampton Inn Boise-Airport, ID
BOISPHX	Hampton Inn and Suites Boise/Spectrum, ID
BOMAPHI	Hilton Mumbai International Airport
BOSANHW	Homewood Suites by Hilton Boston/Andover, MA
BOSAPES	Embassy Suites by Hilton Boston At Logan Airport
BOSARHW	Homewood Suites by Hilton Boston/Cambridge-Arlington, MA
BOSBFDT	DoubleTree by Hilton Boston/Bedford Glen
BOSBHHH	Hilton Boston Back Bay
BOSBIHX	Hampton Inn Boston Bedford Burlington
BOSBLHW	Homewood Suites by Hilton BOS/Billerica-Bedford-Burlington
